epoch,train_loss,val_mae_mm,seconds
1,0.10047,9.422,95
2,0.04456,8.411,97
3,0.03480,6.711,100
4,0.02933,8.029,103
5,0.02613,5.701,102
6,0.02233,5.931,100
7,0.02079,5.363,100
8,0.01859,5.139,106
9,0.01792,5.015,115
10,0.01667,4.961,112
