epoch,train_loss,val_mae_mm,seconds
1,0.09705,11.612,114
2,0.04659,9.342,113
3,0.04155,7.574,129
4,0.03275,7.117,122
5,0.03267,7.356,129
6,0.03004,7.106,136
7,0.02543,5.852,140
8,0.02353,5.665,844
9,0.02313,5.577,93
10,0.02120,5.585,85
